sheet,is_destination,region_count,country_count,has_2024,year_cols
Tabla 10,True,7,8,False,
Tabla 11,True,8,8,False,
Tabla 15.1,True,5,8,False,"[2010, 2011, 2012, 2013, 2014]"
Tabla 15.2,True,5,8,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 16.1,True,5,8,False,"[2010, 2011, 2012, 2013, 2014]"
Tabla 16.2,True,5,8,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 17.1,True,5,8,False,"[2010, 2011, 2012, 2013, 2014]"
Tabla 17.2,True,5,8,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 18.1,True,4,8,False,"[2010, 2011, 2012, 2013, 2014]"
Tabla 18.2,True,4,8,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 19.1,True,4,8,False,"[2010, 2011, 2012, 2013, 2014]"
Tabla 19.2,True,4,8,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 20.1,True,5,8,False,"[2010, 2011, 2012, 2013, 2014]"
Tabla 20.2,True,5,8,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 21.1,True,5,8,False,"[2010, 2011, 2012, 2013, 2014]"
Tabla 21.2,True,5,8,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 22.1,True,3,7,False,"[2010, 2011, 2012, 2013, 2014]"
Tabla 22.2,True,3,7,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 23.1,True,3,7,False,"[2010, 2011, 2012, 2013, 2014]"
Tabla 23.2,True,3,7,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 24.1 ,True,5,9,False,"[2010, 2011, 2012, 2013, 2014]"
Tabla 24.2,True,5,9,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 43,True,3,6,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 44,True,3,6,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 45,True,3,6,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 46,True,2,3,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 47,True,2,3,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 48,True,2,3,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 80,False,1,5,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 81,False,1,5,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 82,False,1,7,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 83,False,1,7,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 84,False,1,7,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 85,False,1,7,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 88,False,1,3,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 89,False,1,3,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 94,True,2,9,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 95,True,2,9,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 98,True,5,13,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 99,False,1,6,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 100,False,1,6,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 101,False,1,9,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 102,False,1,9,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 103,False,1,8,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 104,False,1,8,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 105,True,2,17,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 106,True,2,17,True,"[2020, 2021, 2022, 2023, 2024]"
Tabla 107,False,1,10,True,"[2020, 2021, 2022, 2023, 2024]"
