Feature,LASSO,Ridge,Elastic Net,LASSO_Imp,Ridge_Imp,Elastic Net_Imp,VIF,LASSO_Selected,Elastic Net_Selected
Domestic Credit,0.06752202647135251,0.07714971833670901,0.07503549759414935,0.1357681648073061,0.15969930593794793,0.15726361699506902,2.716155664240574,1,1
HC × Production,0.03017609425286036,0.04602241745379297,0.04315690531422088,0.060675799466731906,0.09353951666124581,0.09045066995807179,2.565905474544592,1,1
Electricity,0.02105149266569196,0.07039159388038205,0.027500458529986768,0.04232874330109263,0.14533519220967683,0.05763700803106066,8.208707553793452,1,1
Human Capital,0.008039572662436004,0.02808692265104381,0.015973006219786277,0.01616536237515059,0.05541836503339841,0.03347712500015709,3.155507495132524,1,1
Urban Population,0.0017950909500116657,0.038875836173037866,0.009645932547706534,0.0036094326056503754,0.07834975403575961,0.020216488067389994,2.4888567814506883,1,1
Depreciation,-0.0,-0.026497304076849335,-0.006026944602599803,0.0,0.05203969656822612,0.012631609545128906,1.4043568322948037,0,1
Political Stability,0.0,0.03684190175771662,0.004209618542616222,0.0,0.07402671064608554,0.008822755354566439,2.402588946187666,0,1
Capital Formation,0.0,0.01864065150732106,0.001999096388394776,0.0,0.03534070681722154,0.004189818670373621,1.484710570742116,0,1
Inflation,-0.0,-0.0062628766939261575,-0.0,0.0,0.009032258922912456,0.0,2.2406709272338707,0,0
Resource HHI,-0.0,-0.0020133190060980183,-0.0,0.0,0.0,0.0,2.0352302562391147,0,0
Real Rate (5yr avg),0.0,-0.016125719333248648,0.0,0.0,0.029995322605860332,0.0,2.9542934678638217,0,0
Inflation (5yr avg),0.0,0.005629934296539681,0.0,0.0,0.007686966062702953,0.0,2.2286102204774925,0,0
Forestry rents (% of GDP),-0.0,0.01063520056274194,-0.0,0.0,0.018325452280680003,0.0,5.011693432215807,0,0
Savings,-0.0,-0.029111091616518914,-0.0,0.0,0.05759519376629892,0.0,2.5566986562370033,0,0
Prod Value,-0.0,-0.05257495141884688,-0.0,0.0,0.10746665631228863,0.0,5.008551312790314,0,0
Interest Rate,0.0,0.0029569734138802663,0.0,0.0,0.0020056983740331285,0.0,2.2473090935008644,0,0
IMF Credit,-0.0,-0.015329592489690179,-0.0,0.0,0.028303187961566043,0.0,2.6522275979113727,0,0
Gov Revenue,-0.0,-0.0048442279783496136,-0.0,0.0,0.00601697981364278,0.0,2.8847084349825507,0,0
Landlocked,-0.0,-0.0049180628917479974,-0.0,0.0,0.006173912865116629,0.0,1.5613000727674926,0,0
Investment Share,0.0,0.0060620916166558465,0.0,0.0,0.008605498554190577,0.0,2.065052300240059,0,0
Trade,-0.0,-0.013644848625408473,-0.0,0.0,0.02472233463074385,0.0,2.502277979137707,0,0
Rule of Law,0.0,-0.011460797780986284,0.0,0.0,0.020080224986220162,0.0,2.029526555466222,0,0
GFCF × Production,0.0,-0.014580209835786237,0.0,0.0,0.02671040615705335,0.0,1.519942054676239,0,0
