Country Code,Country,ECI_2019,ECI_2030_Ensemble,Total_Change,Annualised_Change,Pct_Change
CHL,Chile,-0.413,0.6652956664446673,1.0782956664446672,0.09802687876769701,261.0885390907184
GNQ,Equatorial Guinea,-1.901,-1.0857603369012134,0.8152396630987866,0.07411269664534424,42.884779752697874
MNG,Mongolia,-1.332,-0.5244963326062515,0.8075036673937486,0.0734094243085226,60.62339845298412
ECU,Ecuador,-1.184,-0.3893842810570659,0.794615718942934,0.07223779263117582,67.11281409990997
MMR,Myanmar,-1.344,-0.7763848932263919,0.5676151067736082,0.051601373343055285,42.23326687303632
VNM,Viet Nam,-0.057,0.4752848388003913,0.5322848388003913,0.04838953080003558,933.8330505270025
QAT,Qatar,0.003,0.5298278845734911,0.5268278845734911,0.04789344405213555,5268.278845734911
YEM,"Yemen, Rep.",-1.518,-1.007394858664268,0.510605141335732,0.04641864921233927,33.63670232778208
BOL,Bolivia,-0.964,-0.4854695068436915,0.47853049315630847,0.04350277210511895,49.640092651069345
ETH,Ethiopia,-1.155,-0.721194642297857,0.433805357702143,0.03943685070019482,37.55890542875697
NGA,Nigeria,-1.529,-1.1434762619678136,0.3855237380321863,0.035047612548380576,25.214109747036385
DZA,Algeria,-1.025,-0.6586007033627601,0.3663992966372398,0.0333090269670218,35.74627284265755
GAB,Gabon,-1.243,-0.8960737291555867,0.3469262708444134,0.031538751894946676,27.910399907032453
MDG,Madagascar,-1.494,-1.1479068437145319,0.3460931562854681,0.03146301420776983,23.165539242668547
IRQ,Iraq,-1.575,-1.2683973930730834,0.30660260692691654,0.027872964266083322,19.466832185835973
PNG,Papua New Guinea,-1.409,-1.1180079270385253,0.2909920729614748,0.026453824814679526,20.652382750991823
TCD,Chad,-1.845,-1.5925603946721965,0.2524396053278035,0.02294905502980032,13.682363432401276
CIV,Cote d'Ivoire,-1.1,-0.873619094743542,0.22638090525645804,0.02058008229604164,20.58008229604164
CMR,Cameroon,-1.346,-1.1457370976757324,0.2002629023242677,0.018205718393115244,14.878373129588981
VEN,"Venezuela, RB",-1.277,-1.1344194812158173,0.14258051878418265,0.012961865344016605,11.165271635409763
GHA,Ghana,-0.994,-0.85875448491608,0.13524551508392002,0.012295046825810911,13.606188640233402
UZB,Uzbekistan,-0.69,-0.5753675783053158,0.11463242169468413,0.010421129244971284,16.61339444850495
AZE,Azerbaijan,-0.827,-0.7686527095259228,0.05834729047407716,0.005304299134007015,7.055295099646573
MOZ,Mozambique,-1.334,-1.2856862492138474,0.04831375078615263,0.004392159162377512,3.6217204487370784
LAO,Lao PDR,-0.805,-0.7583752941446493,0.04662470585535072,0.004238609623213702,5.791888926130524
TGO,Togo,-0.893,-0.9129109351932716,-0.019910935193271584,-0.001810085017570144,-2.2296679947672544
ARE,United Arab Emirates,0.333,0.2855203056198572,-0.04747969438014282,-0.004316335852740257,-14.258166480523368
UGA,Uganda,-0.754,-0.8093056375594461,-0.055305637559446064,-0.005027785232676915,-7.334965193560486
RWA,Rwanda,-0.746,-0.815295776164001,-0.06929577616400096,-0.006299616014909178,-9.288978038069832
TZA,Tanzania,-0.924,-0.9949172587840462,-0.0709172587840462,-0.006447023525822382,-7.675028006931408
OMN,Oman,-0.179,-0.2700516994611333,-0.09105169946113328,-0.00827742722373939,-50.86687120733703
RUS,Russian Federation,0.257,0.1619517452489158,-0.0950482547510842,-0.008640750431916745,-36.98375671248412
LBR,Liberia,-0.849,-0.9474952684733364,-0.09849526847333645,-0.00895411531575786,-11.601327264232799
IDN,Indonesia,-0.135,-0.24872243898493177,-0.11372243898493176,-0.010338403544084706,-84.23884369254203
MWI,Malawi,-1.2,-1.3188248795401813,-0.1188248795401814,-0.010802261776380127,-9.902073295015116
BFA,Burkina Faso,-0.884,-1.0325127243308974,-0.14851272433089735,-0.013501156757354305,-16.800081937884315
KEN,Kenya,-0.436,-0.5862842420013378,-0.15028424200133778,-0.013662203818303435,-34.468862844343526
AGO,Angola,-1.204,-1.4011834479949463,-0.19718344799494636,-0.017925767999540577,-16.37736279027794
COG,"Congo, Rep.",-1.084,-1.2916213222791135,-0.20762132227911345,-0.018874665661737587,-19.153258512833343
IRN,"Iran, Islamic Rep.",0.0039999999999999,-0.24000191312947322,-0.2440019131294731,-0.022181992102679373,-2440.019131294731
GIN,Guinea,-1.386,-1.6549360327042613,-0.26893603270426136,-0.024448730245841942,-19.40375416336662
TTO,Trinidad and Tobago,0.055,-0.2174726584843308,-0.27247265848433083,-0.024770241680393712,-495.4048336078742
ZMB,Zambia,-0.49,-0.9203525231334871,-0.43035252313348715,-0.03912295664849883,-87.82704553744635
KAZ,Kazakhstan,-0.23,-0.6947597242971277,-0.46475972429712775,-0.04225088402701161,-202.06944534657728
NER,Niger,-0.62,-1.123436406001027,-0.5034364060010269,-0.04576694600009335,-81.19942032274628
MYS,Malaysia,1.209,0.692926019817474,-0.516073980182526,-0.04691581638022964,-42.6860198662139
BHR,Bahrain,0.492,-0.02988861386702918,-0.5218886138670291,-0.04744441944245719,-106.07492151768885
EGY,"Egypt, Arab Rep.",-0.144,-0.7186378985387405,-0.5746378985387405,-0.05223980895806732,-399.0540962074587
MLI,Mali,-0.351,-0.9332529514040219,-0.5822529514040219,-0.05293208649127472,-165.8840317390376
KWT,Kuwait,0.419,-0.20391048715775395,-0.622910487157754,-0.05662822610525036,-148.66598738848543
SAU,Saudi Arabia,0.7,-0.04596234634916599,-0.7459623463491659,-0.06781475875901509,-106.56604947845227
LBY,Libya,-1.425,-2.1839039370038074,-0.7589039370038073,-0.06899126700034612,-53.25641663184613
ZWE,Zimbabwe,-0.921,-1.7448645707649892,-0.8238645707649892,-0.07489677916045356,-89.45326501248525
